Date,FXY
2007-02-13,82.57750129699707
2007-02-14,82.90750122070312
2007-02-15,83.77749824523926
2007-02-16,83.89000129699707
2007-02-20,83.40750122070312
2007-02-21,82.82999992370605
2007-02-22,82.44750022888184
2007-02-23,82.75250053405762
2007-02-26,83.09750175476074
2007-02-27,84.16500091552734
2007-02-28,84.58250045776367
2007-03-01,85.30500030517578
2007-03-02,85.7549991607666
2007-03-05,86.47249794006348
2007-03-06,85.93499946594238
2007-03-07,86.13249969482422
2007-03-08,85.39249992370605
2007-03-09,84.70250129699707
2007-03-12,85.13000106811523
2007-03-13,85.77749824523926
2007-03-14,85.75
2007-03-15,85.21500015258789
2007-03-16,85.63749885559082
2007-03-19,85.15999984741211
2007-03-20,85.37500190734863
2007-03-21,85.03250122070312
2007-03-22,84.83749961853027
2007-03-23,84.89999961853027
2007-03-26,84.70999908447266
2007-03-27,84.79750061035156
2007-03-28,85.63250160217285
2007-03-29,84.84249877929688
2007-03-30,84.81749725341797
2007-04-02,84.96000099182129
2007-04-03,84.4174976348877
2007-04-04,84.26250076293945
2007-04-05,84.28249931335449
2007-04-09,83.85750007629395
2007-04-10,83.9950008392334
2007-04-11,83.78499984741211
2007-04-12,84.03499794006348
2007-04-13,84.07500076293945
2007-04-16,83.55749893188477
2007-04-17,84.02250099182129
2007-04-18,84.45499801635742
2007-04-19,84.59749984741211
2007-04-20,84.20250129699707
2007-04-23,84.24999809265137
2007-04-24,84.39250183105469
2007-04-25,84.33250045776367
2007-04-26,83.72249984741211
2007-04-27,83.82500267028809
2007-04-30,82.8174991607666
2007-05-01,83.6825008392334
2007-05-02,83.32499885559082
2007-05-03,83.125
2007-05-04,83.25750160217285
2007-05-07,83.37750053405762
2007-05-08,83.4950008392334
2007-05-09,83.40750122070312
2007-05-10,83.21999931335449
2007-05-11,83.42000198364258
2007-05-14,83.10250091552734
2007-05-15,83.10750198364258
2007-05-16,82.89750099182129
2007-05-17,82.50750160217285
2007-05-18,82.63999938964844
2007-05-21,82.35000038146973
2007-05-22,82.33249855041504
2007-05-23,82.28249931335449
2007-05-24,82.4124984741211
2007-05-25,82.21999931335449
2007-05-29,82.26000022888184
2007-05-30,82.29500007629395
2007-05-31,82.17250061035156
2007-06-01,81.98750114440918
2007-06-04,82.19500160217285
2007-06-05,82.39249992370605
2007-06-06,82.63249969482422
2007-06-07,82.55249977111816
2007-06-08,82.1924991607666
2007-06-11,82.13750076293945
2007-06-12,82.14750099182129
2007-06-13,81.63250160217285
2007-06-14,81.27000045776367
2007-06-15,80.97249984741211
2007-06-18,80.88500022888184
2007-06-19,81.03000068664551
2007-06-20,80.9424991607666
2007-06-21,80.88249969482422
2007-06-22,80.72750091552734
2007-06-25,80.84000015258789
2007-06-26,81.31250190734863
2007-06-27,81.68000030517578
2007-06-28,81.25250053405762
2007-06-29,81.18000030517578
2007-07-02,81.73000144958496
2007-07-03,81.83500099182129
2007-07-05,81.43000030517578
2007-07-06,81.10000038146973
2007-07-09,81.10999870300293
2007-07-10,81.8899974822998
2007-07-11,81.92499923706055
2007-07-12,81.68499946594238
2007-07-13,81.94499969482422
2007-07-16,82.0875015258789
2007-07-17,81.81999969482422
2007-07-18,82.05249977111816
2007-07-19,81.92499923706055
2007-07-20,82.27999877929688
2007-07-23,82.46000099182129
2007-07-24,83.07999992370605
2007-07-25,83.02749824523926
2007-07-26,83.98250007629395
2007-07-27,84.09750175476074
2007-07-30,84.15250015258789
2007-07-31,84.04500007629395
2007-08-01,84.04500007629395
2007-08-02,83.87499809265137
2007-08-03,84.53000068664551
2007-08-06,84.64750099182129
2007-08-07,84.26749801635742
2007-08-08,83.63249969482422
2007-08-09,84.41499710083008
2007-08-10,84.63500022888184
2007-08-13,84.46249961853027
2007-08-14,84.63249778747559
2007-08-15,85.42749977111816
2007-08-16,87.73999977111816
2007-08-17,87.44499778747559
2007-08-20,87.00749969482422
2007-08-21,87.38500022888184
2007-08-22,86.81999778747559
2007-08-23,86.0099983215332
2007-08-24,86.42250061035156
2007-08-27,86.10750007629395
2007-08-28,87.09749984741211
2007-08-29,86.53000068664551
2007-08-30,86.36499977111816
2007-08-31,86.16250038146973
2007-09-04,86.13749694824219
2007-09-05,86.58000183105469
2007-09-06,86.68000030517578
2007-09-07,87.89499855041504
2007-09-10,87.9625015258789
2007-09-11,87.64999961853027
2007-09-12,87.5
2007-09-13,86.73999977111816
2007-09-14,86.86249923706055
2007-09-17,86.85999870300293
2007-09-18,86.20250129699707
2007-09-19,86.05249977111816
2007-09-20,87.12499809265137
2007-09-21,86.56000137329102
2007-09-24,86.99999809265137
2007-09-25,87.29499816894531
2007-09-26,86.55500030517578
2007-09-27,86.48500061035156
2007-09-28,86.87249946594238
2007-10-01,86.31750106811523
2007-10-02,86.21500015258789
2007-10-03,85.71500015258789
2007-10-04,85.75
2007-10-05,85.4950008392334
2007-10-08,85.08999824523926
2007-10-09,85.30999946594238
2007-10-10,85.21249961853027
2007-10-11,85.07999992370605
2007-10-12,84.7125015258789
2007-10-15,85.84749984741211
2007-10-16,85.59750175476074
2007-10-17,85.60999870300293
2007-10-18,86.39999961853027
2007-10-19,86.92999839782715
2007-10-22,87.48500061035156
2007-10-23,86.98749923706055
2007-10-24,87.48250007629395
2007-10-25,87.55500030517578
2007-10-26,87.45000076293945
2007-10-29,87.12500190734863
2007-10-30,87.06499862670898
2007-10-31,86.72000122070312
2007-11-01,86.96750068664551
2007-11-02,87.0575008392334
2007-11-05,87.55500030517578
2007-11-06,87.40500068664551
2007-11-07,88.53500175476074
