Date,NDAQ
2005-01-05,2.6488365553397033
2005-01-06,2.653565575210662
2005-01-07,2.5481791002877845
2005-01-10,2.4975133661167686
2005-01-11,2.5569616589600557
2005-01-12,2.5062947414926247
2005-01-13,2.37456256284948
2005-01-14,2.301603350349221
2005-01-18,2.3238965048489226
2005-01-19,2.294171790561056
2005-01-20,2.292145744861541
2005-01-21,2.3043053597564227
2005-01-24,2.2630976598279386
2005-01-25,2.215807956680645
2005-01-26,2.21918588887801
2005-01-27,2.262421318459136
2005-01-28,2.3103844282590256
2005-01-31,2.3232195262736823
2005-02-01,2.2901195982598974
2005-02-02,2.252963207937953
2005-02-03,2.299576353257574
2005-02-04,2.493459863824389
2005-02-07,2.6772090096631915
2005-02-08,2.690720146322652
2005-02-09,2.6488369464792862
2005-02-10,2.6974761288658833
2005-02-11,2.852852600607613
2005-02-14,2.834612837839844
2005-02-15,2.7603024181286213
2005-02-16,2.733956184182046
2005-02-17,2.7022051574513286
2005-02-18,2.6508626850171826
2005-02-22,2.6400543786471506
2005-02-23,2.6130322781941873
2005-02-24,2.5941172834935466
2005-02-25,2.7170670335050886
2005-02-28,2.8427189565217152
2005-03-01,2.8650126790415142
2005-03-02,2.8954136840675897
2005-03-03,2.942700353564832
2005-03-04,2.898790000983528
2005-03-07,2.996070463579631
2005-03-08,2.9285140765700532
2005-03-09,2.823804129073081
2005-03-10,2.769759822084379
2005-03-11,2.7474673315152165
2005-03-14,2.806240302279261
2005-03-15,2.893385219299983
2005-03-16,2.9264878689090317
2005-03-17,2.9683716776585527
2005-03-18,3.030523119345642
2005-03-21,3.0832169385175123
2005-03-22,3.0393058262570047
2005-03-23,2.953510363369552
2005-03-24,2.9818831234716723
2005-03-28,2.98728760066291
2005-03-29,2.9744522418576587
2005-03-30,2.935945468713012
2005-03-31,2.9123010586409217
2005-04-01,2.885279225296488
2005-04-04,2.8602847785690164
2005-04-05,2.882577743582768
2005-04-06,2.9312168015304776
2005-04-07,2.929866385945135
2005-04-08,2.935269614143816
2005-04-11,2.8987904809657077
2005-04-12,2.8609602657215207
2005-04-13,2.885279245527112
2005-04-14,2.8690664634850442
2005-04-15,2.7913776030082524
2005-04-18,2.8623110160169687
2005-04-19,2.903519298768752
2005-04-20,2.8744712317108627
2005-04-21,2.8440715138402046
2005-04-22,3.360867536644524
2005-04-25,3.7661987556178493
2005-04-26,3.8411856792392634
2005-04-27,3.8310517675537996
2005-04-28,3.9992643286813747
2005-04-29,4.0485792669245
2005-05-02,4.052632280927062
2005-05-03,4.069522143072359
2005-05-04,4.067494832217095
2005-05-05,4.117484472765747
2005-05-06,4.205982366453869
2005-05-09,4.280968344792495
2005-05-10,4.1431567876987625
2005-05-11,4.041821995570423
2005-05-12,3.9533263332677047
2005-05-13,3.9310326065147647
2005-05-16,3.927654436804812
2005-05-17,3.961432182641087
2005-05-18,4.050604296651569
2005-05-19,4.093164459944979
2005-05-20,4.282320115580847
2005-05-23,4.351226313872252
2005-05-24,4.395138092477106
2005-05-25,4.470123051984826
2005-05-26,4.59037223827633
2005-05-27,4.659277920931572
2005-05-31,4.637659470423002
2005-06-01,4.626177118731242
2005-06-02,4.66941125441509
2005-06-03,4.874103432898149
2005-06-06,4.895044965662849
2005-06-07,4.970030069011591
2005-06-08,4.993002461115286
2005-06-09,5.05852755934225
2005-06-10,5.170669925490015
2005-06-13,5.220661905116004
2005-06-14,5.206473112315838
2005-06-15,5.151753734152196
2005-06-16,5.086900975974487
2005-06-17,5.038938167883462
2005-06-20,5.0477203874314585
2005-06-21,5.041640865273948
2005-06-22,5.0355587378283175
2005-06-23,4.930850265081519
2005-06-24,4.982191610747002
2005-06-27,5.176073905640708
2005-06-28,5.225388468987869
2005-06-29,5.255789072539569
2005-06-30,5.1828290600314055
2005-07-01,5.151754639530445
2005-07-05,5.18147797503784
2005-07-06,5.254437576200934
2005-07-07,5.2963227142265605
2005-07-08,5.302402566849725
2005-07-11,5.3442874305114945
2005-07-12,5.440890255689072
2005-07-13,5.534116727755917
2005-07-14,5.636124753396456
2005-07-15,5.628693506874906
2005-07-18,5.578026979698948
2005-07-19,5.45372481204457
2005-07-20,5.38211691403975
2005-07-21,5.296321494966309
2005-07-22,5.211879691664952
2005-07-25,5.281461803188407
2005-07-26,5.409139720785485
2005-07-27,5.46115723209523
2005-07-28,5.578702284735514
2005-07-29,6.072531268097043
2005-08-01,6.1495419158269735
2005-08-02,6.157649432101319
2005-08-03,6.196157568466691
2005-08-04,6.294785641996039
2005-08-05,6.065099593137116
2005-08-08,5.909724112386751
2005-08-09,5.965119682372386
2005-08-10,6.042130080196513
2005-08-11,6.212370730612761
2005-08-12,6.271142297594153
2005-08-15,6.261009956376537
2005-08-16,6.107658839103428
2005-08-17,6.03334935634856
2005-08-18,5.971874787132638
2005-08-19,6.015781934892939
2005-08-22,6.1400843056687995
2005-08-23,6.115090537491639
2005-08-24,6.2069655377015245
2005-08-25,6.262360290590561
2005-08-26,6.197507774328644
2005-08-29,6.12860202456163
2005-08-30,6.198859619093121
2005-08-31,6.339371914336681
2005-09-01,6.418411397921166
2005-09-02,6.57041168432949
2005-09-06,6.7724011441658245
2005-09-07,6.866979894230966
2005-09-08,6.795371374830616
2005-09-09,6.748082628481965
2005-09-12,6.723085796697034
2005-09-13,6.620403984366064
2005-09-14,6.633914007639486
2005-09-15,6.530554473410443
2005-09-16,6.654182225775664
2005-09-19,6.684577826266006
2005-09-20,6.709574681954437
2005-09-21,6.645398365872095
2005-09-22,6.667689460424272
2005-09-23,6.696064450202907
