Date,VXX
2018-01-25,1770.239990234375
2018-01-26,1770.239990234375
2018-01-29,1880.9600219726562
2018-01-30,1978.239990234375
2018-01-31,1939.9999694824219
2018-02-01,1893.2319946289062
2018-02-02,2019.5199890136719
2018-02-05,2476.7999877929688
2018-02-06,3045.31201171875
2018-02-07,2804.6400146484375
2018-02-08,3218.4000244140625
2018-02-09,3286.4000244140625
2018-02-12,3118.5599975585938
2018-02-13,3095.0400390625
2018-02-14,2871.2000122070312
2018-02-15,2660.0799560546875
2018-02-16,2681.9200439453125
2018-02-20,2793.760009765625
2018-02-21,2776.4800415039062
2018-02-22,2791.5199584960938
2018-02-23,2661.4400634765625
2018-02-26,2508.9599609375
2018-02-27,2613.9520263671875
2018-02-28,2736.1600341796875
2018-03-01,2946.5599975585938
2018-03-02,3047.0399780273438
2018-03-05,2855.0400390625
2018-03-06,2799.0399169921875
2018-03-07,2801.1199951171875
2018-03-08,2725.6000366210938
2018-03-09,2514.239990234375
2018-03-12,2521.5999145507812
2018-03-13,2585.280029296875
2018-03-14,2632.800048828125
2018-03-15,2586.39990234375
2018-03-16,2515.199951171875
2018-03-19,2707.0399780273438
2018-03-20,2739.840087890625
2018-03-21,2637.9199829101562
2018-03-22,2933.1199951171875
2018-03-23,3081.280029296875
2018-03-26,3023.3599853515625
2018-03-27,3087.679931640625
2018-03-28,3246.7200317382812
2018-03-29,3136.0
2018-04-02,3237.7599487304688
2018-04-03,3215.5199584960938
2018-04-04,3240.9600219726562
2018-04-05,3031.679931640625
2018-04-06,3157.1199951171875
2018-04-09,3187.199951171875
2018-04-10,3187.199951171875
2018-04-11,3187.199951171875
2018-04-12,3077.760009765625
2018-04-13,2942.719970703125
2018-04-16,2793.60009765625
2018-04-17,2579.199951171875
2018-04-18,2617.5999755859375
2018-04-19,2655.2000122070312
2018-04-20,2709.1199951171875
2018-04-23,2663.8400268554688
2018-04-24,2661.760009765625
2018-04-25,2885.5999755859375
2018-04-26,2756.7999267578125
2018-04-27,2661.280029296875
2018-04-30,2625.280029296875
2018-05-01,2709.1199951171875
2018-05-02,2571.9999389648438
2018-05-03,2731.3599853515625
2018-05-04,2579.199951171875
2018-05-07,2548.47998046875
2018-05-08,2544.0
2018-05-09,2495.3600463867188
2018-05-10,2346.239990234375
2018-05-11,2317.4400024414062
2018-05-14,2225.919921875
2018-05-15,2359.8399658203125
2018-05-16,2316.8800048828125
2018-05-17,2273.2799072265625
2018-05-18,2268.6399536132812
2018-05-21,2170.0800170898438
2018-05-22,2191.488037109375
2018-05-23,2237.43994140625
2018-05-24,2215.8400268554688
2018-05-25,2176.0
2018-05-29,2399.52001953125
2018-05-30,2351.3599853515625
2018-05-31,2362.719970703125
2018-06-01,2254.8800659179688
2018-06-04,2248.320068359375
2018-06-05,2177.280029296875
2018-06-06,2097.2799072265625
2018-06-07,2094.719970703125
2018-06-08,2075.52001953125
2018-06-11,2071.6800537109375
2018-06-12,2040.3200073242188
2018-06-13,2044.47998046875
2018-06-14,2011.0719909667969
2018-06-15,2036.1600341796875
2018-06-18,2042.3840026855469
2018-06-19,2120.6239624023438
2018-06-20,2050.3999938964844
2018-06-21,2135.5199584960938
2018-06-22,2124.7040405273438
2018-06-25,2362.7199096679688
2018-06-26,2352.320068359375
2018-06-27,2391.52001953125
2018-06-28,2525.280029296875
2018-06-29,2346.0800170898438
2018-07-02,2458.8800048828125
2018-07-03,2415.360107421875
2018-07-05,2314.239990234375
2018-07-06,2222.2401123046875
2018-07-09,2095.2000122070312
2018-07-10,2047.8400268554688
2018-07-11,2109.1199951171875
2018-07-12,2062.0799560546875
2018-07-13,2036.7680053710938
2018-07-16,2003.760009765625
2018-07-17,1966.3999633789062
2018-07-18,1961.5999755859375
2018-07-19,1998.2400512695312
2018-07-20,2011.3119812011719
2018-07-23,2007.0399780273438
2018-07-24,1965.760009765625
2018-07-25,1960.3200073242188
2018-07-26,1951.3600463867188
2018-07-27,1994.8800354003906
2018-07-30,2025.280029296875
2018-07-31,2008.3199462890625
2018-08-01,1981.1199951171875
2018-08-02,2007.2960205078125
2018-08-03,1930.3359985351562
2018-08-06,1901.0559692382812
2018-08-07,1836.3200073242188
2018-08-08,1794.3040161132812
2018-08-09,1806.2400207519531
2018-08-10,1916.8320007324219
2018-08-13,1969.280029296875
2018-08-14,1962.8800048828125
2018-08-15,2071.6799926757812
2018-08-16,1946.7200012207031
2018-08-17,1927.8399963378906
2018-08-20,1847.3599548339844
2018-08-21,1860.7999877929688
2018-08-22,1869.1199951171875
2018-08-23,1853.2799987792969
2018-08-24,1834.5599975585938
2018-08-27,1841.2319946289062
2018-08-28,1846.5599975585938
2018-08-29,1843.5199584960938
2018-08-30,1872.5759887695312
2018-08-31,1883.3599853515625
2018-09-04,1888.6400146484375
2018-09-05,1904.9599914550781
2018-09-06,1942.8800048828125
2018-09-07,1978.719970703125
2018-09-10,1926.0799865722656
2018-09-11,1903.3600158691406
2018-09-12,1844.6559753417969
2018-09-13,1794.5599975585938
2018-09-14,1762.0799865722656
2018-09-17,1776.0000305175781
2018-09-18,1787.6799621582031
2018-09-19,1736.3200073242188
2018-09-20,1704.3200073242188
2018-09-21,1699.0719909667969
2018-09-24,1717.9199829101562
2018-09-25,1704.3200073242188
2018-09-26,1711.6799926757812
2018-09-27,1715.2000122070312
2018-09-28,1715.8400268554688
2018-10-01,1679.6799926757812
2018-10-02,1691.8399963378906
2018-10-03,1675.8400268554688
2018-10-04,1762.239990234375
2018-10-05,1799.1999816894531
2018-10-08,1869.1679992675781
