Date,DTB3_cumulative
2005-01-03,100.0
2005-01-04,100.00627397260273
2005-01-05,100.01257573781196
2005-01-06,100.01885049941303
2005-01-07,100.02507084984136
2005-01-10,100.04381527407732
2005-01-11,100.05020163269619
2005-01-12,100.05653357696391
2005-01-13,100.06283850921672
2005-01-14,100.06917125324293
2005-01-17,100.08825293630929
2005-01-18,100.09461471019455
2005-01-19,100.10108658117308
2005-01-20,100.10747659574115
2005-01-21,100.1138121648079
2005-01-24,100.13282007489838
2005-01-25,100.1392395488429
2005-01-26,100.14571430515346
2005-01-27,100.15221691728779
2005-01-28,100.15880226853714
2005-01-31,100.17864194361664
2005-02-01,100.18544860202816
2005-02-02,100.19222827485136
2005-02-03,100.19900840646338
2005-02-04,100.20570664154589
2005-02-07,100.22572032925592
2005-02-08,100.23253018641802
2005-02-09,100.23934050627726
2005-02-10,100.24612382603206
2005-02-11,100.25290760482247
2005-02-14,100.273507517344
2005-02-15,100.2805129267733
2005-02-16,100.2875188256216
2005-02-17,100.29447026185801
2005-02-18,100.3014221799337
2005-02-21,100.32252669835401
2005-02-22,100.32956301803478
2005-02-23,100.33679224408237
2005-02-24,100.34402199103037
2005-02-25,100.35127975042919
2005-02-28,100.37346700597949
2005-03-01,100.38094689173992
2005-03-02,100.38837233164698
2005-03-03,100.39574331350585
2005-03-04,100.40316984794273
2005-03-07,100.42545109933366
2005-03-08,100.432907345155
2005-03-09,100.44033662871203
2005-03-10,100.4477664618325
2005-03-11,100.45516932462107
2005-03-14,100.47746211562188
2005-03-15,100.4850323353703
2005-03-16,100.49260312547776
2005-03-17,100.50014695376719
2005-03-18,100.5076638140736
2005-03-21,100.53038129973021
2005-03-22,100.53809321939156
2005-03-23,100.54588836470144
2005-03-24,100.55351883348968
2005-03-25,100.56117743026658
2005-03-28,100.5841549705342
2005-03-29,100.59184345799633
2005-03-30,100.59950497374464
2005-03-31,100.60713951151938
2005-04-01,100.61466437428284
2005-04-04,100.63732334801315
2005-04-05,100.64490561210101
2005-04-06,100.65246087350862
2005-04-07,100.65993397402826
2005-04-08,100.66740762940003
2005-04-11,100.68999574086536
2005-04-12,100.69747162822037
2005-04-13,100.70494807063442
2005-04-14,100.71245265854542
2005-04-15,100.71995780570242
2005-04-18,100.74255770856348
2005-04-19,100.75042390827497
2005-04-20,100.75829072219656
2005-04-21,100.76604773033162
2005-04-22,100.77383294278641
2005-04-25,100.79760452365319
2005-04-26,100.80555786888684
2005-04-27,100.81345660574999
2005-04-28,100.82127310115257
2005-04-29,100.82906258033464
2005-05-02,100.85259856973694
2005-05-03,100.86055625422682
2005-05-04,100.86843166752338
2005-05-05,100.87619715500244
2005-05-06,100.88379741643192
2005-05-09,100.90701450953597
2005-05-10,100.91492119615233
2005-05-11,100.92277320645911
2005-05-12,100.93054287749227
2005-05-13,100.9383407988872
2005-05-16,100.96123859236158
2005-05-17,100.96909420654247
2005-05-18,100.97689510642364
2005-05-19,100.98464127919893
2005-05-20,100.99241571322618
2005-05-23,101.01590682581262
2005-05-24,101.02396042276777
2005-05-25,101.03193162841208
2005-05-26,101.03993114299855
2005-05-27,101.04790360879832
2005-05-30,101.07198899952151
2005-05-31,101.08001937672968
2005-06-01,101.08813347143581
2005-06-02,101.0961928267345
2005-06-03,101.10425282457355
2005-06-06,101.12868404402322
2005-06-07,101.13688516470185
2005-06-08,101.14508695045767
2005-06-09,101.15328940134461
2005-06-10,101.16140937772668
2005-06-13,101.1858544087051
2005-06-14,101.19408788781726
2005-06-15,101.2022665880712
2005-06-16,101.21041822269501
2005-06-17,101.21848732727112
2005-06-20,101.24277976422967
2005-06-21,101.25099013760233
2005-06-22,101.25920117680253
2005-06-23,101.26744062413117
2005-06-24,101.27576397541536
2005-06-27,101.30090256230898
2005-06-28,101.30947844693685
2005-06-29,101.31802730155647
2005-06-30,101.3265213608316
2005-07-01,101.33501613221144
2005-07-04,101.36083573906157
2005-07-05,101.3694444675764
2005-07-06,101.37819278949621
2005-07-07,101.38685854186616
2005-07-08,101.3954139260938
2005-07-11,101.42124892197086
2005-07-12,101.42994614139896
2005-07-13,101.43867189566976
2005-07-14,101.44742619201145
2005-07-15,101.45620903767629
2005-07-18,101.48272663313435
2005-07-19,101.4917071593542
2005-07-20,101.5007162862363
2005-07-21,101.50969840441724
2005-07-22,101.51879256095923
2005-07-25,101.5463277951059
2005-07-26,101.55570344235711
2005-07-27,101.56505213176987
2005-07-28,101.5743182036493
2005-07-29,101.58358512089912
2005-08-01,101.61147190234875
2005-08-02,101.62096491931277
2005-08-03,101.63045882315865
2005-08-04,101.6398700820853
2005-08-05,101.64931005906004
2005-08-08,101.67805035713702
2005-08-09,101.68771673617097
2005-08-10,101.69730045522775
2005-08-11,101.70685721524313
2005-08-12,101.71641487333214
2005-08-15,101.74517414460593
2005-08-16,101.75484690499721
2005-08-17,101.76449270692298
2005-08-18,101.77408366185206
2005-08-19,101.78361975407462
2005-08-22,101.81239802683797
2005-08-23,101.82204928429475
2005-08-24,101.83170145663786
2005-08-25,101.84132664485773
2005-08-26,101.85098064458899
2005-08-29,101.88002910235639
2005-08-30,101.8897146832053
2005-08-31,101.89937326985745
2005-09-01,101.90897693681767
2005-09-02,101.91846982782
2005-09-05,101.94678361642423
2005-09-06,101.95622416789337
2005-09-07,101.96586112606815
2005-09-08,101.97538725172403
2005-09-09,101.98488632889269
2005-09-12,102.01347003812951
2005-09-13,102.0230844583194
2005-09-14,102.03258797851552
2005-09-15,102.0419526133026
2005-09-16,102.05137402098224
2005-09-19,102.08006024283033
2005-09-20,102.08987670889752
2005-09-21,102.09977802844682
2005-09-22,102.10912085744997
2005-09-23,102.11860441689399
2005-09-26,102.14714167073105
2005-09-27,102.15682466005106
2005-09-28,102.16639661458085
2005-09-29,102.17588549360889
2005-09-30,102.18557120768581
2005-10-03,102.21471509251518
2005-10-04,102.22462851967757
2005-10-05,102.23457091505414
2005-10-06,102.24437423007339
2005-10-07,102.2542345094512
2005-10-10,102.28398628946462
2005-10-11,102.2939064349842
2005-10-12,102.3041358256277
2005-10-13,102.31428215361916
2005-10-14,102.3245416131447
2005-10-17,102.35557538508051
2005-10-18,102.36617549672313
2005-10-19,102.3767486606032
2005-10-20,102.38732291656073
2005-10-21,102.39787021338721
2005-10-24,102.42959952604785
2005-10-25,102.44037568117608
2005-10-26,102.45115297001487
2005-10-27,102.4618471862564
2005-10-28,102.47248637532041
2005-10-31,102.5047441525383
2005-11-01,102.51566863075072
2005-11-02,102.52653810027402
2005-11-03,102.53735254333391
2005-11-04,102.54816812709532
2005-11-07,102.58087115934188
2005-11-08,102.59174754211959
2005-11-09,102.60262507809186
2005-11-10,102.61358809830568
2005-11-11,102.6244960632871
2005-11-14,102.65722343682619
2005-11-15,102.66827666663733
2005-11-16,102.67930295826837
2005-11-17,102.69030230277706
2005-11-18,102.70133095990107
2005-11-21,102.73433607256298
2005-11-22,102.7453413123998
2005-11-23,102.75615068529405
2005-11-24,102.76701750013365
2005-11-25,102.77788546417614
2005-11-28,102.81049280427682
2005-11-29,102.82144986775651
2005-11-30,102.832408098989
2005-12-01,102.84328297831127
2005-12-02,102.85421536017307
