Date,UUP
2007-03-01,21.240377004042543
2007-03-02,21.31697484251959
2007-03-05,21.3744196481373
2007-03-06,21.36165428161621
2007-03-07,21.308461216825307
2007-03-08,21.39144086976014
2007-03-09,21.429739447232386
2007-03-12,21.344633102416992
2007-03-13,21.285058750851967
2007-03-14,21.276549285248585
2007-03-15,21.24250602722168
2007-03-16,21.165910315007245
2007-03-19,21.221227814547746
2007-03-20,21.161654951283804
2007-03-21,21.08931541442871
2007-03-22,21.05952756481549
2007-03-23,21.191442627680065
2007-03-26,21.174421172577546
2007-03-27,21.153145173455737
2007-03-28,21.125485027025434
2007-03-29,21.165910720825195
2007-03-30,21.102082507167992
2007-04-02,21.125485208405408
2007-04-03,21.17867290224963
2007-04-04,21.148889541625977
2007-04-05,21.08080291748047
2007-04-09,21.221229259668014
2007-04-10,21.14676183807702
2007-04-11,21.229740247396553
2007-04-12,21.05527314297745
2007-04-13,20.999953480709706
2007-04-16,20.97016938457802
2007-04-17,20.921229418564323
2007-04-18,20.87016411371833
2007-04-19,20.88505803717338
2007-04-20,20.848889787859086
2007-04-23,20.936126123114597
2007-04-24,20.910589441851798
2007-04-25,20.87441897408471
2007-04-26,20.95527287277804
2007-04-27,20.86803963526387
2007-04-30,20.851019130886094
2007-05-01,20.912718881333692
2007-05-02,20.97016330422838
2007-05-03,21.012719702214262
2007-05-04,20.948890211747873
2007-05-07,20.980801820556913
2007-05-08,21.019101225679464
2007-05-09,21.03825369370627
2007-05-10,21.106338320413
2007-05-11,21.11271797824956
2007-05-14,21.004210165436557
2007-05-15,21.05739911969324
2007-05-16,21.08718612471236
2007-05-17,21.172290198284394
2007-05-18,21.148887676477308
2007-05-21,21.20208291592612
2007-05-22,21.19569767207038
2007-05-23,21.114845511999523
2007-05-24,21.195697223107274
2007-05-25,21.195698077888345
2007-05-29,21.165910409377496
2007-05-30,21.22122980259081
2007-05-31,21.191442040390577
2007-06-01,21.227611964444733
2007-06-04,21.129738751675987
2007-06-05,21.044636399233493
2007-06-06,21.06165413086552
2007-06-07,21.204208579395328
2007-06-08,21.22973923048488
2007-06-11,21.35527117119198
2007-06-12,21.380801397216228
2007-06-13,21.446761273325006
2007-06-14,21.455270724169022
2007-06-15,21.38293072934001
2007-06-18,21.348890462293735
2007-06-19,21.353144141152157
2007-06-20,21.748887610317198
2007-06-21,21.374420096646727
2007-06-22,21.265909772466657
2007-06-25,21.295698544969774
2007-06-26,21.259527387601743
2007-06-27,21.293571247127808
2007-06-28,21.27654961784827
2007-06-29,21.206332638825337
2007-07-02,21.076547958796393
2007-07-03,21.051016009163614
2007-07-05,21.123355641469566
2007-07-06,21.102080824055605
2007-07-09,21.10208291298598
2007-07-10,20.9871884264631
2007-07-11,20.92974382322623
2007-07-12,20.899951554810514
2007-07-13,20.902078404918942
2007-07-16,20.899951331030014
2007-07-17,20.90420633186798
2007-07-18,20.86803963526387
2007-07-19,20.861654843112788
2007-07-20,20.83399750119398
2007-07-23,20.865911931667092
2007-07-24,20.782930316364844
2007-07-25,20.899951736847928
2007-07-26,20.853146110760548
2007-07-27,21.368036651463182
2007-07-30,21.004209293695855
2007-07-31,20.912718657620555
2007-08-01,20.997822635046766
2007-08-02,21.002081365579723
2007-08-03,20.876549303360346
2007-08-06,20.851014644112244
2007-08-07,20.90633989260615
2007-08-08,20.85739775387325
2007-08-09,21.023356675171136
2007-08-10,21.048888262546527
2007-08-13,21.08505846321632
2007-08-14,21.20846358083072
2007-08-15,21.329739808009798
2007-08-16,21.28931229252943
2007-08-17,21.112718814466284
2007-08-20,21.259527387601743
2007-08-21,21.268035664887577
2007-08-22,21.227612370262687
2007-08-23,21.193568509826708
2007-08-24,21.0956977134242
2007-08-27,21.06378532745116
2007-08-28,21.06378532745116
2007-08-29,21.06590584926611
2007-08-30,21.125485208405408
2007-08-31,21.0808058758509
2007-09-04,21.15952578767008
2007-09-05,21.046756521758986
2007-09-06,21.031867168266487
2007-09-07,20.88293147154779
2007-09-10,20.857402016705237
2007-09-11,20.868037953388672
2007-09-12,20.79782561913776
2007-09-13,20.842506633250704
2007-09-14,20.859528820876758
2007-09-17,20.86590816107003
2007-09-18,20.840378203267246
2007-09-19,20.804210594726605
2007-09-20,20.640378054325655
2007-09-21,20.655273662088355
2007-09-24,20.625484130711108
2007-09-25,20.570168998141114
2007-09-26,20.804209031808366
2007-09-27,20.587186728673437
2007-09-28,20.491445207006194
2007-10-01,20.391442997949
2007-10-02,20.606336059450825
2007-10-03,20.625486535409816
2007-10-04,20.672294254054947
2007-10-05,20.612718763892023
2007-10-08,20.70846517790025
2007-10-09,20.699955454355365
2007-10-10,20.595697766246477
2007-10-11,20.582931504081152
2007-10-12,20.585060386892255
2007-10-15,20.551016709455354
2007-10-16,20.589315793929266
2007-10-17,20.563786292742616
2007-10-18,20.44038054471949
2007-10-19,20.429742744921526
2007-10-22,20.578679407278443
2007-10-23,20.448890953119086
2007-10-24,20.44888953726828
2007-10-25,20.387187258121738
2007-10-26,20.297828268498428
2007-10-29,20.26804022149866
2007-10-30,20.28718993117533
2007-10-31,20.2765503535002
2007-11-01,20.27442288306085
2007-11-02,20.13825148561136
2007-11-05,20.19144491518615
2007-11-06,20.10633897531484
2007-11-07,20.025485810434795
2007-11-08,19.982936813679114
2007-11-09,20.37016997885207
2007-11-12,20.68931619413692
2007-11-13,20.23825357926671
2007-11-14,20.99995420321158
2007-11-15,20.136124667391936
2007-11-16,20.165914693169285
2007-11-19,20.082932416291456
2007-11-20,19.77654980462586
2007-11-21,19.838252924932956
