Date,GOOGL
2005-01-04,4.933308306660221
2005-01-05,4.832314860186596
2005-01-06,4.777272724130851
2005-01-07,4.778954588917269
2005-01-10,4.853485021605795
2005-01-11,4.8569710412608185
2005-01-12,4.832625803882854
2005-01-13,4.870047298491828
2005-01-14,4.919609991272996
2005-01-18,5.034426277062388
2005-01-19,5.005847117117209
2005-01-20,4.823473121864055
2005-01-21,4.771357383293849
2005-01-24,4.6017486645391745
2005-01-25,4.468065387581079
2005-01-26,4.589357475095191
2005-01-27,4.675469114172445
2005-01-28,4.740847708290046
2005-01-31,4.840409046005731
2005-02-01,4.816623826827858
2005-02-02,5.24251563477344
2005-02-03,5.205530689965108
2005-02-04,5.113067037654866
2005-02-07,5.001115131544934
2005-02-08,4.919859201828302
2005-02-09,4.877830124586738
2005-02-10,4.71600341975605
2005-02-11,4.685120621141133
2005-02-14,4.66936741921582
2005-02-15,4.8675568989426035
2005-02-16,4.898626809764634
2005-02-17,4.933183989687705
2005-02-18,4.931129461580694
2005-02-22,4.838977257357391
2005-02-23,4.796824566689469
2005-02-24,4.634623744761411
2005-02-25,4.6726673205312155
2005-02-28,4.668060758654159
2005-03-01,4.65180907393944
2005-03-02,4.627276622664959
2005-03-03,4.639979265611437
2005-03-04,4.638234778715418
2005-03-07,4.689915469352429
2005-03-08,4.6643867959856085
2005-03-09,4.54764007293139
2005-03-10,4.480518270413006
2005-03-11,4.460282381022692
2005-03-14,4.385253037813769
2005-03-15,4.40910032276358
2005-03-16,4.395402428974655
2005-03-17,4.432386701968819
2005-03-18,4.467878257102938
2005-03-21,4.480394288728089
2005-03-22,4.480393882154576
2005-03-23,4.452935311764736
2005-03-24,4.483133599455938
2005-03-28,4.53817550954393
2005-03-29,4.495338151845172
2005-03-30,4.496396196463694
2005-03-31,4.467442182619203
2005-04-01,4.512584362939161
2005-04-04,4.5478268800218515
2005-04-05,4.695581132951876
2005-04-06,4.705294152259282
2005-04-07,4.768244192809334
2005-04-08,4.808654030264387
2005-04-11,4.8158151107919265
2005-04-12,4.799314627074831
2005-04-13,4.797197952189853
2005-04-14,4.789289467151612
2005-04-15,4.670488221397524
2005-04-18,4.62578267699488
2005-04-19,4.736862617911569
2005-04-20,4.938165149260355
2005-04-21,5.036979646830767
2005-04-22,5.460442823646673
2005-04-25,5.501786771123872
2005-04-26,5.474701906303096
2005-04-27,5.450418107643413
2005-04-28,5.4714640711751095
2005-04-29,5.491638015005637
2005-05-02,5.530677943254594
2005-05-03,5.5883350869541655
2005-05-04,5.682355057052791
2005-05-05,5.666726304391675
2005-05-06,5.679428578257636
2005-05-09,5.653339338120706
2005-05-10,5.639890312044167
2005-05-11,5.729427108685281
2005-05-12,5.728119903002938
2005-05-13,5.708630855136278
2005-05-16,5.734097131168053
2005-05-17,5.77407139748205
2005-05-18,5.8918763453231815
2005-05-19,5.970952704294111
2005-05-20,6.0032058171542975
2005-05-23,6.222876507894576
2005-05-24,6.425112752782455
2005-05-25,6.383084217406231
2005-05-26,6.489370408214134
2005-05-27,6.548770261938717
2005-05-31,6.814704576401168
2005-06-01,7.13624022181936
2005-06-02,7.166749758237014
2005-06-03,7.059343176477209
2005-06-06,7.153673805530848
2005-06-07,7.347940763021189
2005-06-08,7.120611817092642
2005-06-09,7.098756556589209
2005-06-10,7.078209094613659
2005-06-13,6.994089580108283
2005-06-14,6.948324945081197
2005-06-15,6.815076970838997
2005-06-16,6.868251872731807
2005-06-17,6.945647049128691
2005-06-20,6.9873025981949315
2005-06-21,7.167807811630299
2005-06-22,7.222476695618085
2005-06-23,7.216624146073157
2005-06-24,7.320668666795186
2005-06-27,7.480066797696308
2005-06-28,7.593388646956946
2005-06-29,7.420416523727541
2005-06-30,7.337666931642614
2005-07-01,7.295886925395651
2005-07-05,7.310020982716097
2005-07-06,7.3335576493148436
2005-07-07,7.280258104267238
2005-07-08,7.372348218292288
2005-07-11,7.330879883535708
2005-07-12,7.2881040542736475
2005-07-13,7.364129882203558
2005-07-14,7.553040886869136
2005-07-15,7.506716100239625
2005-07-18,7.466742371843646
2005-07-19,7.622155791477817
2005-07-20,7.670908269987062
2005-07-21,7.826694887938355
2005-07-22,7.561135153813408
2005-07-25,7.449930579403821
2005-07-26,7.354664994194528
2005-07-27,7.3802560963310535
2005-07-28,7.357217924978777
2005-07-29,7.221044775045169
2005-08-01,7.224780058721142
2005-08-02,7.356159344174026
2005-08-03,7.413380670929944
2005-08-04,7.3941410254256335
2005-08-05,7.345200947198704
2005-08-08,7.291155005185622
2005-08-09,7.25211519818988
2005-08-10,7.186549990080251
2005-08-11,7.08038821807781
2005-08-12,7.128830551248929
2005-08-15,7.162577634119238
2005-08-16,7.108531679977426
2005-08-17,7.105543402794892
2005-08-18,6.920119229613897
2005-08-19,6.986492584713925
2005-08-22,6.911837275654738
2005-08-23,6.908910813112108
2005-08-24,6.9820098215760735
2005-08-25,7.030389327971825
2005-08-26,7.065445319431852
2005-08-29,7.110960146240667
2005-08-30,7.1607718200484705
2005-08-31,7.142341776652074
2005-09-01,7.1272115577054045
2005-09-02,7.169115520728555
2005-09-06,7.174781811718969
2005-09-07,7.232314926798793
2005-09-08,7.365062876448066
2005-09-09,7.422160301379628
2005-09-12,7.620660218168707
2005-09-13,7.735663626256067
2005-09-14,7.6293773940576095
2005-09-15,7.514125104330584
2005-09-16,7.525270787539146
2005-09-19,7.543390267048749
2005-09-20,7.66225268824665
2005-09-21,7.721031468935175
2005-09-22,7.797181359222101
2005-09-23,7.83391869671967
2005-09-26,7.890765592842273
