Date,XLU
2005-01-04,13.587999582443324
2005-01-05,13.443191403601178
2005-01-06,13.363977911860479
2005-01-07,13.44689967428335
2005-01-10,13.417201327696983
2005-01-11,13.411016201957006
2005-01-12,13.422151981120818
2005-01-13,13.533544055913662
2005-01-14,13.610274504926936
2005-01-18,13.669683486829864
2005-01-19,13.755079842850748
2005-01-20,13.648640502017578
2005-01-21,13.623884375941534
2005-01-24,13.688239270142219
2005-01-25,13.694433500603983
2005-01-26,13.747646618235647
2005-01-27,13.866464514334194
2005-01-28,13.861512756697941
2005-01-31,14.021169069185085
2005-02-01,14.135028775229156
2005-02-02,14.24642326598207
2005-02-03,14.24517905915407
2005-02-04,14.378844493556203
2005-02-07,14.441967580220043
2005-02-08,14.450628491224077
2005-02-09,14.419690341262001
2005-02-10,14.402359781429723
2005-02-11,14.432062014964634
2005-02-14,14.488991851723245
2005-02-15,14.562012506975368
2005-02-16,14.522413846476418
2005-02-17,14.569440140715196
2005-02-18,14.406068783023105
2005-02-22,14.191963015365765
2005-02-23,14.097905732364355
2005-02-24,14.157306416748957
2005-02-25,14.367703801072377
2005-02-28,14.441969117980353
2005-03-01,14.425868398606658
2005-03-02,14.429587513291397
2005-03-03,14.458051093552214
2005-03-04,14.628849056224567
2005-03-07,14.777366426112456
2005-03-08,14.764983833130923
2005-03-09,14.615229888052465
2005-03-10,14.496423615884124
2005-03-11,14.526121155768902
2005-03-14,14.591718338356747
2005-03-15,14.69938651624729
2005-03-16,14.560774843703232
2005-03-17,14.566968557231698
2005-03-18,14.593985337393464
2005-03-21,14.567795007836844
2005-03-22,14.408174537231016
2005-03-23,14.179967550919585
2005-03-24,14.292202810543474
2005-03-28,14.388216763566295
2005-03-29,14.288461626695657
2005-03-30,14.30840973131965
2005-03-31,14.468033003669872
2005-04-01,14.611438072622079
2005-04-04,14.63637916909181
2005-04-05,14.663815709973925
2005-04-06,14.724920926636763
2005-04-07,14.75734032195984
2005-04-08,14.769819418829151
2005-04-11,14.79101921109308
2005-04-12,14.900751157625919
2005-04-13,14.935662622247659
2005-04-14,14.78352980285516
2005-04-15,14.59522456573184
2005-04-18,14.486739935527032
2005-04-19,14.625157288806468
2005-04-20,14.681266037353911
2005-04-21,14.637627627307259
2005-04-22,14.789762717357311
2005-04-25,14.906985629595717
2005-04-26,14.844634880807348
2005-04-27,14.799743786154012
2005-04-28,14.833412457090706
2005-04-29,14.86583437818355
2005-05-02,15.050388844554751
2005-05-03,15.022955077645548
2005-05-04,14.984300962638873
2005-05-05,14.951878624019642
2005-05-06,14.88952289811535
2005-05-09,14.914468603287128
2005-05-10,14.948133771948811
2005-05-11,14.93192937736159
2005-05-12,14.895763842577095
2005-05-13,14.637627058682513
2005-05-16,14.580268357498039
2005-05-17,14.739883818483003
2005-05-18,14.869575877199711
2005-05-19,14.879547414742728
2005-05-20,14.815941133131629
2005-05-23,14.839648685740025
2005-05-24,14.844636917114258
2005-05-25,14.867071509267086
2005-05-26,14.88329201026903
2005-05-27,14.94938252718873
2005-05-31,15.00550230260327
2005-06-01,15.110257007360259
2005-06-02,15.180080481624156
2005-06-03,15.171357623520187
2005-06-06,15.182578637413974
2005-06-07,15.248673627847616
2005-06-08,15.27236200978692
2005-06-09,15.228716321965699
2005-06-10,15.301046680184259
2005-06-13,15.355924585162942
2005-06-14,15.424505086766517
2005-06-15,15.374619520666222
2005-06-16,15.362152711050879
2005-06-17,15.477584877826088
2005-06-20,15.522851776932043
2005-06-21,15.551762870704437
2005-06-22,15.839657092959243
2005-06-23,15.75543187415574
2005-06-24,15.721492835826794
2005-06-27,15.695078716657557
2005-06-28,15.840922166846916
2005-06-29,15.907553409680062
2005-06-30,15.91258593087143
2005-07-01,15.969156953218878
2005-07-05,16.020704127106036
2005-07-06,15.92389807659911
2005-07-07,15.771775380290556
2005-07-08,15.999332508621386
2005-07-11,16.153969750986704
2005-07-12,16.230654145254004
2005-07-13,16.26082478128774
2005-07-14,16.220604196297188
2005-07-15,16.104935056335947
2005-07-18,16.09739233619473
2005-07-19,16.093625083963623
2005-07-20,16.133854263481282
2005-07-21,16.04459127164472
2005-07-22,15.941498844900527
2005-07-25,16.06722377968618
2005-07-26,16.065966590788342
2005-07-27,16.106197002946416
2005-07-28,16.1615071393678
2005-07-29,16.27089622334595
2005-08-01,16.166540300304195
2005-08-02,16.221858877447566
2005-08-03,16.426782703926587
2005-08-04,16.4041542885958
2005-08-05,16.160254947367086
2005-08-08,15.88618909442979
2005-08-09,15.8132640207157
2005-08-10,15.91510014881377
2005-08-11,15.946524532845716
2005-08-12,15.946529103456136
2005-08-15,15.99179162427295
2005-08-16,15.888696437951843
2005-08-17,15.749148290706021
2005-08-18,15.741601775107839
2005-08-19,15.900013590265
2005-08-22,15.972928927222688
2005-08-23,16.10242424038961
2005-08-24,16.151456792755653
2005-08-25,16.21431601625908
2005-08-26,16.17659851067986
2005-08-29,16.159004017928496
2005-08-30,16.186654206446097
2005-08-31,16.27843244068721
2005-09-01,16.448155877944256
2005-09-02,16.60530331599258
2005-09-06,16.734805705977898
2005-09-07,16.744856013451813
2005-09-08,16.689545571902357
2005-09-09,16.74611572882792
2005-09-12,16.841665163400048
2005-09-13,16.753655837532726
2005-09-14,16.709659514058394
2005-09-15,16.839152844495914
2005-09-16,16.95851963019152
2005-09-19,17.015525575184785
2005-09-20,16.959777600939557
2005-09-21,16.722912870387255
2005-09-22,16.507571183266013
2005-09-23,16.52656779733205
2005-09-26,16.668452601457204
2005-09-27,16.676054357153134
2005-09-28,16.830586224066263
