Date,QQQ
2005-01-03,34.0833643780479
2005-01-04,33.546156014343474
2005-01-05,33.098855663785855
2005-01-06,32.9661580514679
2005-01-07,33.00039307608901
2005-01-10,33.008966845357264
2005-01-11,32.78853240225959
2005-01-12,32.87842135841019
2005-01-13,32.854859663571446
2005-01-14,32.818496561511346
2005-01-18,32.96186963516146
2005-01-19,32.87841217822336
2005-01-20,32.13146662127152
2005-01-21,31.904600767534816
2005-01-24,31.527917115051142
2005-01-25,31.51079444953016
2005-01-26,31.722691531867532
2005-01-27,31.74622485356531
2005-01-28,31.682024621503984
2005-01-31,32.007329390894704
2005-02-01,32.11007607515158
2005-02-02,32.1592880178617
2005-02-03,31.876789335394893
2005-02-04,32.07580311576156
2005-02-07,32.29628154468419
2005-02-08,32.324104002325825
2005-02-09,32.048001113280435
2005-02-10,31.806160903298803
2005-02-11,31.998771845062272
2005-02-14,32.360483594828764
2005-02-15,32.60019069757339
2005-02-16,32.531702113320215
2005-02-17,32.3369331866821
2005-02-18,32.03087412810325
2005-02-22,31.731243800578405
2005-02-23,31.62209417825955
2005-02-24,31.77403516014527
2005-02-25,32.10149688620514
2005-02-28,31.93241771827546
2005-03-01,32.110063047074156
2005-03-02,32.18926902853153
2005-03-03,32.05228801838666
2005-03-04,32.16144146560864
2005-03-07,32.426830350679474
2005-03-08,32.435379750134594
2005-03-09,32.24060016077756
2005-03-10,32.0779720937873
2005-03-11,32.03943644883111
2005-03-14,31.883199737566763
2005-03-15,31.874644517309697
2005-03-16,31.51293969840147
2005-03-17,31.408062893744624
2005-03-18,31.333162761529902
2005-03-21,31.28607322652259
2005-03-22,31.161937667618226
2005-03-23,31.014254362318955
2005-03-24,31.157667547831082
2005-03-28,31.176926377038548
2005-03-29,30.999275183549692
2005-03-30,31.23898724234908
2005-03-31,31.35242095319797
2005-04-01,31.253970552294657
2005-04-04,31.106286662454558
2005-04-05,31.277521656236207
2005-04-06,31.35242625227025
2005-04-07,31.446593479751318
2005-04-08,31.527909763716497
2005-04-11,31.335299059009515
2005-04-12,31.194041894319774
2005-04-13,31.07634637529661
2005-04-14,30.650422526710077
2005-04-15,29.969832752017425
2005-04-18,29.77078030813337
2005-04-19,29.933437878077054
2005-04-20,29.918460927980014
2005-04-21,30.26518989286816
2005-04-22,30.143190271902856
2005-04-25,30.23950620061597
2005-04-26,30.194552782051183
2005-04-27,29.952706649707377
2005-04-28,29.86495152425013
2005-04-29,29.83285640916025
2005-05-02,30.0425887890734
2005-05-03,30.136753148963976
2005-05-04,30.410709484905958
2005-05-05,30.59689407031686
2005-05-06,30.72748847436185
2005-05-09,30.7381805842423
2005-05-10,30.650425038682208
2005-05-11,30.626867770162683
2005-05-12,30.763851108714782
2005-05-13,30.945781411487655
2005-05-16,31.116994982218433
2005-05-17,31.247542144868063
2005-05-18,31.690576658576877
2005-05-19,32.000925805341666
2005-05-20,32.13574739566961
2005-05-23,32.33907965357018
2005-05-24,32.40971145765641
2005-05-25,32.343354123290766
2005-05-26,32.62156849256521
2005-05-27,32.664382959993226
2005-05-31,32.62372274935914
2005-06-01,32.77141869173954
2005-06-02,32.94903756276324
2005-06-03,32.82918333363785
2005-06-06,32.613027180677854
2005-06-07,32.563801704658964
2005-06-08,32.33908725374322
2005-06-09,32.35405985366002
2005-06-10,32.25989960892214
2005-06-13,32.23634903782385
2005-06-14,32.23419618753461
2005-06-15,32.2427602260938
2005-06-16,32.38187132273926
2005-06-17,32.54890977364016
2005-06-20,32.401097616976756
2005-06-21,32.43324742974184
2005-06-22,32.463229602083786
2005-06-23,32.29827959968145
2005-06-24,31.859102991491543
2005-06-27,31.59990682831753
2005-06-28,31.76058530588727
2005-06-29,31.822702142606175
2005-06-30,31.679172443204223
2005-07-01,31.548490879877683
2005-07-05,31.59777832181004
2005-07-06,31.726301292649385
2005-07-07,31.550640355333996
2005-07-08,32.05835945043957
2005-07-11,32.551059065573334
2005-07-12,32.75239278161131
2005-07-13,32.8424138264092
2005-07-14,33.17015538935599
2005-07-15,33.28369694254233
2005-07-18,33.22585405746892
2005-07-19,33.44650775130344
2005-07-20,33.60503310531852
2005-07-21,33.83209836964732
2005-07-22,33.78497341670579
2005-07-25,33.75284714822987
2005-07-26,33.74641254903657
2005-07-27,33.88137679446771
2005-07-28,34.10844775669021
2005-07-29,34.03774667234415
2005-08-01,33.98419234683064
2005-08-02,34.183425908659466
2005-08-03,34.27125948729087
2005-08-04,34.0741766163717
2005-08-05,33.913514838447576
2005-08-08,33.73140784966344
2005-08-09,33.78711446193191
2005-08-10,33.70141230407536
2005-08-11,33.675732797181794
2005-08-12,33.55147016676076
2005-08-15,33.697141559965594
2005-08-16,33.45720878326661
2005-08-17,33.4015197684807
2005-08-18,33.328672035371724
2005-08-19,33.311548696350286
2005-08-22,33.31153469326701
2005-08-23,33.22585405746892
2005-08-24,33.15944718342696
2005-08-25,33.06304868011112
2005-08-26,32.96022478835695
2005-08-29,33.018051539545624
2005-08-30,33.024494060112154
2005-08-31,33.227995731627885
2005-09-01,33.38652429605399
2005-09-02,33.32011104717366
2005-09-06,33.54717921431182
2005-09-07,33.71856008820981
2005-09-08,33.74640964526212
2005-09-09,33.85353276567056
2005-09-12,34.01846477769226
2005-09-13,34.00991277253499
2005-09-14,33.77426822827426
2005-09-15,33.5921768053331
2005-09-16,33.68000049677353
2005-09-19,33.56860505136457
2005-09-20,33.51289414184644
2005-09-21,33.13159807478649
2005-09-22,33.00092314584299
2005-09-23,33.105899054473525
2005-09-26,33.27083450525914
2005-09-27,33.17658688335847
