Date,JAAA
2020-10-19,42.00675061219276
2020-10-20,41.97002913078826
2020-10-21,41.968560656294265
2020-10-22,41.9605726271664
2020-10-23,41.949041467319454
2020-10-26,41.93959099185979
2020-10-27,41.910207241408756
2020-10-28,41.875572749486686
2020-10-29,41.83675276851121
2020-10-30,41.81386328314646
2020-11-02,41.803165435791016
2020-11-03,41.86193158622861
2020-11-04,41.85353469848633
2020-11-05,41.9259431268084
2020-11-06,41.98387524834166
2020-11-09,42.025639590781765
2020-11-10,42.14151623050827
2020-11-11,42.14317970826355
2020-11-12,42.136908205200925
2020-11-13,42.170900524251664
2020-11-16,42.191467822946535
2020-11-17,42.190420850987714
2020-11-18,42.203010490220436
2020-11-19,42.214549153976435
2020-11-20,42.141295949917364
2020-11-23,42.19712649948301
2020-11-24,42.218962458817806
2020-11-25,42.19355018642984
2020-11-27,42.13059070563797
2020-11-30,42.23930798039825
2020-12-01,42.25825314460836
2020-12-02,42.22819712594866
2020-12-03,42.16724591915841
2020-12-04,42.16157602367355
2020-12-07,42.25889066220157
2020-12-08,42.25445267498024
2020-12-09,42.2074040842361
2020-12-10,42.36081570472021
2020-12-11,42.28095626831055
2020-12-14,42.27568217972796
2020-12-15,42.29879962405647
2020-12-16,42.27568356783825
2020-12-17,42.32886601514379
2020-12-18,42.31667549348863
2020-12-21,42.37194194858169
2020-12-22,42.33558712059899
2020-12-23,42.33349046173186
2020-12-24,42.3145733968593
2020-12-28,42.31289440368616
2020-12-29,42.38813074458634
2020-12-30,42.357479513886666
2020-12-31,42.338557836101
2021-01-04,42.30908685420927
2021-01-05,42.335600542747066
2021-01-06,42.35538404789285
2021-01-07,42.36169944856136
2021-01-08,42.36379247425597
2021-01-11,42.37641359209052
2021-01-12,42.429038017282295
2021-01-13,42.47870035989581
2021-01-14,42.4633360545731
2021-01-15,42.44061761119782
2021-01-19,42.48375092117912
2021-01-20,42.46270679463869
2021-01-21,42.51657759693525
2021-01-22,42.47743619764354
2021-01-25,42.66956146129601
2021-01-26,42.43451113910155
2021-01-27,42.384853433676255
2021-01-28,42.396838208156176
2021-01-29,42.410518744339036
2021-02-01,42.4623448648819
2021-02-02,42.480034444809846
2021-02-03,42.47160615658096
2021-02-04,42.47371403225071
2021-02-05,42.533111232200596
2021-02-08,42.493727198731676
2021-02-09,42.51057176072577
2021-02-10,42.52427025778148
2021-02-11,42.48403643521602
2021-02-12,42.52637505133128
2021-02-16,42.545129103881834
2021-02-17,42.963280156719854
2021-02-18,42.5611344624816
2021-02-19,42.54574270739293
2021-02-22,42.60198861583568
2021-02-23,42.58767672944426
2021-02-24,43.05428189092718
2021-02-25,42.58640412721338
2021-02-26,42.773061542558196
2021-03-01,42.59505211661589
2021-03-02,42.607492918968134
2021-03-03,42.55751284283597
2021-03-04,42.59229589558204
2021-03-05,42.5549790898053
2021-03-08,42.57649368582909
2021-03-09,42.58514061138294
2021-03-10,42.57332187875442
2021-03-11,42.56572632930107
2021-03-12,42.58913934768536
2021-03-15,42.56467120403368
2021-03-16,42.59694160974137
2021-03-17,42.584703593485926
2021-03-18,42.610854956887536
2021-03-19,42.59315232349988
2021-03-22,42.65641219378828
2021-03-23,42.60601923983802
2021-03-24,42.64312551165821
2021-03-25,42.6218336708843
2021-03-26,42.61655968024204
2021-03-29,42.60937993178041
2021-03-30,42.60178943171326
2021-03-31,42.61275125270985
2021-04-01,42.60156894302163
2021-04-05,42.55282706274485
2021-04-06,42.59546928515141
2021-04-07,42.59229832870061
2021-04-08,42.622472722001405
2021-04-09,42.607697401304264
2021-04-12,42.60137538012542
2021-04-13,42.5960794261854
2021-04-14,42.62140553917006
2021-04-15,42.65836210248669
2021-04-16,42.67166565917899
2021-04-19,42.68179381687464
2021-04-20,42.63134548320297
2021-04-21,42.63830895020384
2021-04-22,42.64146846214852
2021-04-23,42.62374711039678
2021-04-26,42.62563947208717
2021-04-27,42.639372806725184
2021-04-28,42.615097165173104
2021-04-29,42.60072162364613
2021-04-30,42.61824444759033
2021-05-03,42.64698344661992
2021-05-04,42.60959749367855
2021-05-05,42.56711880987434
2021-05-06,42.59711184729649
2021-05-07,42.661368626644105
2021-05-10,42.63305527236648
2021-05-11,42.62650187151854
2021-05-12,42.64129431049339
2021-05-13,42.63198862040665
2021-05-14,42.635363592788764
2021-05-17,42.64212916533825
2021-05-18,42.64340747311209
2021-05-19,42.648677670669414
2021-05-20,42.631553808579795
2021-05-21,42.61465464502396
2021-05-24,42.54726075237737
2021-05-25,42.549991302965374
2021-05-26,42.56205193891658
2021-05-27,42.61276587716694
2021-05-28,42.59797773992186
2021-06-01,42.626679411824576
2021-06-02,42.65165182171258
2021-06-03,42.64530636697384
2021-06-04,42.602571912712904
2021-06-07,42.685053781689
2021-06-08,42.70981473333058
2021-06-09,42.66750306209505
2021-06-10,42.696066932074565
2021-06-11,42.747463187828835
2021-06-14,42.70028956987385
2021-06-15,42.672793894484315
2021-06-16,42.75741224058522
2021-06-17,42.697340216396576
2021-06-18,42.683593354542424
2021-06-21,42.64741575085425
2021-06-22,42.69587265078612
2021-06-23,42.68951587707116
2021-06-24,42.70135439725561
2021-06-25,42.70939191825158
2021-06-28,42.696065346339665
2021-06-29,42.637266578409736
2021-06-30,42.711924617847124
2021-07-01,42.70369903712793
2021-07-02,42.6717179901214
2021-07-06,42.72783632927138
2021-07-07,42.69607852095808
2021-07-08,42.73101066585882
2021-07-09,42.74900782534276
2021-07-12,42.68166711106347
2021-07-13,42.783102990075456
2021-07-14,42.747935123181904
2021-07-15,42.80512298311113
