Date,GLD
2010-02-12,106.44750022888184
2010-02-16,109.51000022888184
2010-02-17,109.44750213623047
2010-02-18,109.72250175476074
2010-02-19,109.49749946594238
2010-02-22,109.39000129699707
2010-02-23,108.32250022888184
2010-02-24,107.48750114440918
2010-02-25,107.5774974822998
2010-02-26,109.08250045776367
2010-03-01,109.44500160217285
2010-03-02,110.54749870300293
2010-03-03,111.61249923706055
2010-03-04,110.91750144958496
2010-03-05,111.12249946594238
2010-03-08,110.47999954223633
2010-03-09,109.5200023651123
2010-03-10,109.23250007629395
2010-03-11,108.34749984741211
2010-03-12,108.18249702453613
2010-03-15,108.22500038146973
2010-03-16,110.17249870300293
2010-03-17,109.94499969482422
2010-03-18,110.13749885559082
2010-03-19,108.67499923706055
2010-03-22,107.50249862670898
2010-03-23,107.91499900817871
2010-03-24,106.63750076293945
2010-03-25,106.87750053405762
2010-03-26,107.8174991607666
2010-03-29,108.79750061035156
2010-03-30,108.26750183105469
2010-03-31,109.18499946594238
2010-04-01,110.15500068664551
2010-04-05,110.67499923706055
2010-04-06,111.06500053405762
2010-04-07,112.2599983215332
2010-04-08,112.5575008392334
2010-04-09,113.3849983215332
2010-04-12,113.44000053405762
2010-04-13,112.75750160217285
2010-04-14,113.17500114440918
2010-04-15,113.27750015258789
2010-04-16,111.83749961853027
2010-04-19,111.01499938964844
2010-04-20,111.6825008392334
2010-04-21,112.0625
2010-04-22,111.60000038146973
2010-04-23,112.21000099182129
2010-04-26,112.86499786376953
2010-04-27,113.55499839782715
2010-04-28,114.23999786376953
2010-04-29,114.12249755859375
2010-04-30,115.38249969482422
2010-05-03,115.86250114440918
2010-05-04,115.46500015258789
2010-05-05,114.30499839782715
2010-05-06,117.07500076293945
2010-05-07,117.88249778747559
2010-05-10,117.44499969482422
2010-05-11,119.9900016784668
2010-05-12,121.42249870300293
2010-05-13,120.91499900817871
2010-05-14,120.84749984741211
2010-05-17,120.08000183105469
2010-05-18,119.29249954223633
2010-05-19,117.33250045776367
2010-05-20,116.02749824523926
2010-05-21,115.25500106811523
2010-05-24,116.59749794006348
2010-05-25,117.21500015258789
2010-05-26,118.61250114440918
2010-05-27,118.50750160217285
2010-05-28,118.47249984741211
2010-06-01,119.91749954223633
2010-06-02,119.43249893188477
2010-06-03,118.49750137329102
2010-06-04,118.39750099182129
2010-06-07,120.16000175476074
2010-06-08,121.43000030517578
2010-06-09,120.38500022888184
2010-06-10,119.30000114440918
2010-06-11,119.90750122070312
2010-06-14,119.61249923706055
2010-06-15,120.30249977111816
2010-06-16,120.48500061035156
2010-06-17,121.86000061035156
2010-06-18,123.04500007629395
2010-06-21,121.73749923706055
2010-06-22,121.26749992370605
2010-06-23,120.65749740600586
2010-06-24,121.22250175476074
2010-06-25,122.78249931335449
2010-06-28,122.06249809265137
2010-06-29,121.03999900817871
2010-06-30,121.42999839782715
2010-07-01,118.9900016784668
2010-07-02,118.15250015258789
2010-07-06,117.05000114440918
2010-07-07,117.14500045776367
2010-07-08,117.02750015258789
2010-07-09,118.3075008392334
2010-07-12,117.58499908447266
2010-07-13,118.70000076293945
2010-07-14,118.31999969482422
2010-07-15,118.3125
2010-07-16,116.52499961853027
2010-07-19,115.5525016784668
2010-07-20,116.15500068664551
2010-07-21,116.34000015258789
2010-07-22,116.55500030517578
2010-07-23,116.61750030517578
2010-07-26,115.91749954223633
2010-07-27,114.16499900817871
2010-07-28,113.56750106811523
2010-07-29,113.8799991607666
2010-07-30,114.91500091552734
2010-08-02,115.8125
2010-08-03,116.02999877929688
2010-08-04,117.10750198364258
2010-08-05,116.86000061035156
2010-08-06,117.93499755859375
2010-08-09,117.56000137329102
2010-08-10,117.20249938964844
2010-08-11,117.44999885559082
2010-08-12,118.6624984741211
2010-08-13,118.70249938964844
2010-08-16,119.67749977111816
2010-08-17,119.76749992370605
2010-08-18,119.7400016784668
2010-08-19,120.53499984741211
2010-08-20,119.86499977111816
2010-08-23,119.79500007629395
2010-08-24,119.65999984741211
2010-08-25,121.13249969482422
2010-08-26,121.37499809265137
2010-08-27,121.01999855041504
2010-08-30,120.85000038146973
2010-08-31,121.875
2010-09-01,121.8700008392334
2010-09-02,122.26000022888184
2010-09-03,121.69750022888184
2010-09-07,122.82499885559082
2010-09-08,122.88749885559082
2010-09-09,122.06499862670898
2010-09-10,121.70500183105469
2010-09-13,121.6875
2010-09-14,123.26999855041504
2010-09-15,123.90750122070312
2010-09-16,124.52249908447266
2010-09-17,124.71749877929688
2010-09-20,125.04749870300293
2010-09-21,125.27750015258789
2010-09-22,126.27749824523926
2010-09-23,126.24250030517578
2010-09-24,126.72500228881836
2010-09-27,126.75250244140625
2010-09-28,127.10249900817871
2010-09-29,127.90999984741211
2010-09-30,127.73749923706055
2010-10-01,128.45000457763672
2010-10-04,128.4550018310547
2010-10-05,130.52249908447266
2010-10-06,131.61499786376953
2010-10-07,131.2874984741211
2010-10-08,131.19750213623047
2010-10-11,131.71999740600586
2010-10-12,131.89750289916992
2010-10-13,133.43500137329102
2010-10-14,134.38999938964844
2010-10-15,133.8625030517578
2010-10-18,133.81000137329102
2010-10-19,130.47750091552734
2010-10-20,130.91250228881836
2010-10-21,130.2150001525879
2010-10-22,129.47999954223633
2010-10-25,130.90000534057617
2010-10-26,130.43500137329102
2010-10-27,129.55999755859375
2010-10-28,130.73500061035156
2010-10-29,131.99499893188477
2010-11-01,132.4000015258789
2010-11-02,132.35000228881836
2010-11-03,131.4625015258789
2010-11-04,135.26000213623047
2010-11-05,135.77000045776367
2010-11-08,136.75499725341797
2010-11-09,137.12249755859375
2010-11-10,136.67499923706055
2010-11-11,137.36999893188477
2010-11-12,134.6775016784668
2010-11-15,133.29000091552734
2010-11-16,131.3550033569336
2010-11-17,130.66250228881836
2010-11-18,132.06000137329102
2010-11-19,131.7599983215332
2010-11-22,132.72500228881836
2010-11-23,134.13500595092773
2010-11-24,134.24499893188477
2010-11-26,132.64500045776367
2010-11-29,133.19499969482422
2010-11-30,135.29000091552734
