Date,SVXY
2011-10-04,10.186874866485596
2011-10-05,11.125624895095825
2011-10-06,11.430625200271606
2011-10-07,11.61562466621399
2011-10-10,12.006249904632568
2011-10-11,12.212500095367432
2011-10-12,13.021874904632568
2011-10-13,12.96749997138977
2011-10-14,13.808124780654907
2011-10-17,13.065624952316284
2011-10-18,12.587500095367432
2011-10-19,12.419999837875366
2011-10-20,11.791249990463257
2011-10-21,12.352499723434448
2011-10-24,13.0
2011-10-25,12.710624933242798
2011-10-26,12.67312479019165
2011-10-27,14.29562520980835
2011-10-28,14.435625076293945
2011-10-31,13.549999713897705
2011-11-01,11.164375066757202
2011-11-02,11.483750104904175
2011-11-03,11.804374933242798
2011-11-04,11.761874914169312
2011-11-07,11.783124923706055
2011-11-08,12.22124981880188
2011-11-09,10.84249997138977
2011-11-10,10.585000276565552
2011-11-11,11.188124895095825
2011-11-14,10.924375057220459
2011-11-15,10.868124723434448
2011-11-16,10.668124914169312
2011-11-17,10.161249876022339
2011-11-18,10.21875
2011-11-21,9.996249914169312
2011-11-22,10.253124952316284
2011-11-23,10.073749780654907
2011-11-25,9.906875133514404
2011-11-28,10.341249942779541
2011-11-29,10.384999752044678
2011-11-30,11.259999752044678
2011-12-01,11.529375076293945
2011-12-02,11.880624771118164
2011-12-05,11.896250009536743
2011-12-06,11.752500057220459
2011-12-07,11.433125019073486
2011-12-08,10.969374895095825
2011-12-09,11.31000018119812
2011-12-12,11.376874923706055
2011-12-13,11.705625295639038
2011-12-14,11.555625200271606
2011-12-15,12.00125002861023
2011-12-16,12.202499866485596
2011-12-19,12.226874828338623
2011-12-20,12.820625066757202
2011-12-21,13.403125047683716
2011-12-22,13.959374904632568
2011-12-23,13.65999984741211
2011-12-27,13.491250038146973
2011-12-28,13.262500286102295
2011-12-29,13.209375143051147
2011-12-30,13.183749675750732
2012-01-03,13.692499876022339
2012-01-04,13.73562502861023
2012-01-05,13.990000009536743
2012-01-06,14.442499876022339
2012-01-09,14.684375047683716
2012-01-10,15.121249675750732
2012-01-11,14.828125
2012-01-12,14.786249876022339
2012-01-13,14.486249923706055
2012-01-17,14.946249723434448
2012-01-18,14.993124961853027
2012-01-19,15.538750171661377
2012-01-20,15.84375
2012-01-23,16.36312484741211
2012-01-24,16.29437494277954
2012-01-25,16.79562520980835
2012-01-26,17.301250457763672
2012-01-27,17.23312520980835
2012-01-30,16.941250324249268
2012-01-31,17.188125133514404
2012-02-01,17.428749561309814
2012-02-02,17.863749504089355
2012-02-03,18.80062484741211
2012-02-06,18.963125228881836
2012-02-07,19.00374984741211
2012-02-08,18.795000076293945
2012-02-09,18.062499523162842
2012-02-10,16.197500228881836
2012-02-13,17.188125133514404
2012-02-14,16.710000038146973
2012-02-15,16.191874980926514
2012-02-16,15.904374837875366
2012-02-17,16.61562490463257
2012-02-21,16.715625286102295
2012-02-22,16.868124961853027
2012-02-23,17.688124656677246
2012-02-24,18.04937505722046
2012-02-27,17.302500247955322
2012-02-28,17.40625
2012-02-29,17.86812448501587
2012-03-01,18.12374973297119
2012-03-02,18.144375324249268
2012-03-05,18.0131254196167
2012-03-06,16.885624408721924
2012-03-07,17.192500114440918
2012-03-08,18.06374979019165
2012-03-09,18.570624828338623
2012-03-12,19.09250020980835
2012-03-13,20.119999408721924
2012-03-14,19.894999980926514
2012-03-15,19.59000015258789
2012-03-16,19.938125133514404
2012-03-19,20.599374771118164
2012-03-20,21.28874969482422
2012-03-21,22.823750019073486
2012-03-22,22.43499994277954
2012-03-23,23.65374994277954
2012-03-26,26.093125343322754
2012-03-27,25.193124771118164
2012-03-28,23.508124351501465
2012-03-29,23.22374963760376
2012-03-30,24.614999294281006
2012-04-02,24.65374994277954
2012-04-03,24.273125171661377
2012-04-04,23.136250019073486
2012-04-05,23.130000114440918
2012-04-09,21.855000019073486
2012-04-10,20.74250030517578
2012-04-11,20.66437530517578
2012-04-12,21.39437484741211
2012-04-13,21.392499923706055
2012-04-16,21.211249828338623
2012-04-17,22.089374542236328
2012-04-18,21.98562526702881
2012-04-19,21.769999980926514
2012-04-20,22.336874961853027
2012-04-23,21.367499828338623
2012-04-24,21.911875247955322
2012-04-25,23.19124984741211
2012-04-26,23.933124542236328
2012-04-27,24.360000133514404
2012-04-30,23.9712495803833
2012-05-01,24.28249979019165
2012-05-02,24.210000038146973
2012-05-03,24.189374923706055
2012-05-04,23.11562490463257
2012-05-07,22.70812463760376
2012-05-08,22.484999656677246
2012-05-09,21.948750019073486
2012-05-10,22.666874408721924
2012-05-11,22.37874984741211
2012-05-14,21.25937509536743
2012-05-15,20.52187490463257
2012-05-16,19.823750019073486
2012-05-17,18.933125019073486
2012-05-18,17.715624809265137
2012-05-21,18.008749961853027
2012-05-22,18.738125324249268
2012-05-23,18.060625553131104
2012-05-24,18.396249771118164
2012-05-25,18.512499809265137
2012-05-29,19.243124961853027
2012-05-30,18.539999961853027
2012-05-31,17.779375076293945
2012-06-01,16.523749828338623
2012-06-04,16.714375495910645
2012-06-05,17.116250038146973
2012-06-06,18.24500036239624
2012-06-07,19.152499675750732
2012-06-08,19.24749994277954
2012-06-11,19.34375
2012-06-12,18.12999963760376
2012-06-13,17.675000190734863
2012-06-14,17.941874504089355
2012-06-15,18.926249504089355
2012-06-18,20.08062505722046
2012-06-19,21.35812473297119
2012-06-20,21.488749980926514
2012-06-21,20.814374446868896
2012-06-22,20.81812572479248
2012-06-25,20.063125133514404
2012-06-26,20.438125133514404
2012-06-27,20.701250076293945
2012-06-28,20.522500038146973
2012-06-29,22.321250438690186
