Date,SPY
2005-01-03,82.71352832054848
2005-01-04,81.81546403022809
2005-01-05,81.08501211580932
2005-01-06,81.16368510015198
2005-01-07,81.21672042625102
2005-01-10,81.28000638142282
2005-01-11,81.00804932157524
2005-01-12,80.97037589871566
2005-01-13,80.82668962621693
2005-01-14,80.82843872187509
2005-01-18,81.27147607148943
2005-01-19,81.32106426758676
2005-01-20,80.55124809128367
2005-01-21,80.26732715751697
2005-01-24,79.94740949413912
2005-01-25,80.05520164679623
2005-01-26,80.26215103557018
2005-01-27,80.2895584955267
2005-01-28,80.24337009977538
2005-01-31,80.75485373780765
2005-02-01,81.14316794750508
2005-02-02,81.56744712922193
2005-02-03,81.38436212607806
2005-02-04,81.87875331786769
2005-02-07,82.24825520417573
2005-02-08,82.29960434453712
2005-02-09,82.02070513890742
2005-02-10,81.88559776277495
2005-02-11,82.27733593174926
2005-02-14,82.57499621797962
2005-02-15,82.80251891753791
2005-02-16,82.84182384870783
2005-02-17,82.62630966844154
2005-02-18,82.28418780116775
2005-02-22,81.69226935605667
2005-02-23,81.52466080906389
2005-02-24,81.90269056491057
2005-02-25,82.71870698328112
2005-02-28,82.64511442598325
2005-03-01,82.85553885514953
2005-03-02,82.88290780136543
2005-03-03,83.04882121790362
2005-03-04,83.71944142824142
2005-03-07,84.01021378919668
2005-03-08,83.84088243065253
2005-03-09,83.17030723572171
2005-03-10,82.85381729876605
2005-03-11,82.72382593051785
2005-03-14,82.65707499859333
2005-03-15,82.64169008741612
2005-03-16,81.7487220477185
2005-03-17,81.66489286514388
2005-03-18,81.6319245352457
2005-03-21,81.2918744132885
2005-03-22,80.90547839539408
2005-03-23,80.44521439919853
2005-03-24,80.65646956693804
2005-03-28,80.7131079883526
2005-03-29,80.34215565585414
2005-03-30,80.70453659923551
2005-03-31,81.14247538110799
2005-04-01,81.05315594064925
2005-04-04,80.64614032215188
2005-04-05,81.06346386440471
2005-04-06,81.43438555594001
2005-04-07,81.61473878426855
2005-04-08,81.4687624918144
2005-04-11,81.168212553041
2005-04-12,81.18367325831035
2005-04-13,81.02398338677436
2005-04-14,80.10514543333386
2005-04-15,79.03179534635049
2005-04-18,78.57671690892857
2005-04-19,79.14858296711937
2005-04-20,78.71751549735785
2005-04-21,79.23784973194796
2005-04-22,79.35636068147686
2005-04-25,79.75653730310438
2005-04-26,79.52812074060587
2005-04-27,79.17434105665075
2005-04-28,78.8875232073643
2005-04-29,79.1125166974474
2005-05-02,79.7547985579687
2005-05-03,79.89392295846143
2005-05-04,80.4039984164731
2005-05-05,80.69420067621743
2005-05-06,80.72857038209045
2005-05-09,80.74404109592389
2005-05-10,80.34730940385609
2005-05-11,80.27345902579216
2005-05-12,80.16867823877662
2005-05-13,79.58994056911004
2005-05-16,79.8578402314685
2005-05-17,80.34731582239598
2005-05-18,81.39834668610796
2005-05-19,81.81911092280166
2005-05-20,81.84828006701423
2005-05-23,82.12821335421201
2005-05-24,82.0852945617368
2005-05-25,81.99771903097806
2005-05-26,82.37726270305114
2005-05-27,82.49575531273052
2005-05-31,82.28450663158173
2005-06-01,82.5009062296191
2005-06-02,82.7653562067998
2005-06-03,82.6606078667705
2005-06-06,82.38926459080079
2005-06-07,82.73961460023865
2005-06-08,82.53698118918749
2005-06-09,82.47510612713268
2005-06-10,82.60737794553118
2005-06-13,82.6761005426681
2005-06-14,82.93024660369039
2005-06-15,83.07278431181886
2005-06-16,83.2960053883687
2005-06-17,83.8046685094512
2005-06-20,83.6735736043474
2005-06-21,83.74083511385143
2005-06-22,83.8460697905074
2005-06-23,83.21665576039024
2005-06-24,82.37174309878111
2005-06-27,82.12520406455461
2005-06-28,82.62175594080955
2005-06-29,82.82869612008903
2005-06-30,82.53725803593848
2005-07-01,82.42004361795223
2005-07-05,82.69420862277208
2005-07-06,82.7545508863661
2005-07-07,82.15450665241147
2005-07-08,83.16840876535333
2005-07-11,83.91847161914387
2005-07-12,84.23575064911346
2005-07-13,84.35470861786057
2005-07-14,84.80476364182968
2005-07-15,84.66854123403921
2005-07-18,84.40989086392628
2005-07-19,84.70644865721846
2005-07-20,84.84612678865997
2005-07-21,84.89616563501396
2005-07-22,84.94097524520275
2005-07-25,85.07719673472215
2005-07-26,85.01686077928528
2005-07-27,85.22033110221521
2005-07-28,85.66514435669545
2005-07-29,85.5737932596914
2005-08-01,85.3479094545359
2005-08-02,85.62897678344838
2005-08-03,85.84103463347618
2005-08-04,85.49620589202026
2005-08-05,85.0047708797141
2005-08-08,84.7651043133711
2005-08-09,84.99268679751667
2005-08-10,85.2616789612032
2005-08-11,85.20304142738317
2005-08-12,85.02030094361392
2005-08-15,85.13579498557647
2005-08-16,84.70819789483615
2005-08-17,84.36849739701661
2005-08-18,84.25644430601153
2005-08-19,84.51162699311534
2005-08-22,84.51852568580011
2005-08-23,84.23225270110467
2005-08-24,83.95813612002684
2005-08-25,83.77019281621742
2005-08-26,83.52703851608386
2005-08-29,83.50120387913918
2005-08-30,83.45463316626306
2005-08-31,84.00295579928962
2005-09-01,84.37023587015081
2005-09-02,84.49786327758271
2005-09-06,84.97544704716883
2005-09-07,85.37548978148757
2005-09-08,85.2616836952318
2005-09-09,85.69278721609663
2005-09-12,85.82552482655274
2005-09-13,85.47894629428731
2005-09-14,85.16168781021564
2005-09-15,85.05821561617643
2005-09-16,85.44107701074942
2005-09-19,85.32679113430115
2005-09-20,84.97699155208058
2005-09-21,84.04538500124275
2005-09-22,83.87913677831408
2005-09-23,84.06615960572762
2005-09-26,84.31723021024322
2005-09-27,84.17176780902847
