Date,VGLT
2010-01-04,36.79861831665039
2010-01-05,37.09052154739516
2010-01-06,36.81789779663086
2010-01-07,36.728065490722656
2010-01-08,36.66387176513672
2010-01-11,36.69601288472591
2010-01-12,37.029593631010684
2010-01-13,36.907692096301204
2010-01-14,36.92692947387695
2010-01-15,37.427324821749124
2010-01-19,37.33272214578904
2010-01-20,37.513959907269495
2010-01-21,37.619783807076985
2010-01-22,37.73364597164807
2010-01-25,37.58130948055521
2010-01-26,37.65829399476997
2010-01-27,37.655052796172505
2010-01-28,37.411311622123954
2010-01-29,37.641901086132506
2010-02-01,37.64674496445139
2010-02-02,37.556618301300134
2010-02-03,37.36510929843917
2010-02-04,37.484197731184736
2010-02-05,37.77225894069208
2010-02-08,37.84466899322295
2010-02-09,37.66605209584935
2010-02-10,37.43108797488754
2010-02-11,37.15265945267765
2010-02-12,37.25727654286753
2010-02-16,37.23476354735611
2010-02-17,37.08027879286985
2010-02-18,36.93865158521756
2010-02-19,36.92095522412417
2010-02-22,36.91288939684368
2010-02-23,37.17360533056143
2010-02-24,37.35704749543271
2010-02-25,37.55663163687259
2010-02-26,37.69608393799196
2010-03-01,37.74125289916992
2010-03-02,37.579877723849684
2010-03-03,37.64121287308626
2010-03-04,37.725133574322676
2010-03-05,37.347523839999255
2010-03-08,37.20548519897994
2010-03-09,37.21194076538086
2010-03-10,37.11352981840637
2010-03-11,37.23298364272686
2010-03-12,37.25069216892829
2010-03-15,37.27651596069336
2010-03-16,37.54277170793263
2010-03-17,37.78645499250102
2010-03-18,37.83809280395508
2010-03-19,37.82516098022461
2010-03-22,37.759013661708956
2010-03-23,37.67349280271746
2010-03-24,37.25070308916952
2010-03-25,36.902144617690915
2010-03-26,36.88116747127854
2010-03-29,36.85373269174894
2010-03-30,36.908573150634766
2010-03-31,37.08608006425062
2010-04-01,37.06342037892978
2010-04-05,36.67312243878945
2010-04-06,36.66503453423977
2010-04-07,36.78812311452861
2010-04-08,36.99215167054282
2010-04-09,36.92575275641877
2010-04-12,37.13628528002447
2010-04-13,37.285310121788896
2010-04-14,37.215641021728516
2010-04-15,37.09579068710096
2010-04-16,37.37111980607128
2010-04-19,37.33547184355214
2010-04-20,37.36465072631836
2010-04-21,37.54600179951321
2010-04-22,37.662623323609225
2010-04-23,37.591365814208984
2010-04-26,37.552520666369844
2010-04-27,37.981659672587455
2010-04-28,37.578399658203125
2010-04-29,37.578399658203125
2010-04-30,38.062027793256306
2010-05-03,38.117279052734375
2010-05-04,38.50892696984576
2010-05-05,38.91029299998952
2010-05-06,39.03707947426636
2010-05-07,39.74883857559117
2010-05-10,38.61943136643862
2010-05-11,38.812811940767865
2010-05-12,38.58530056609513
2010-05-13,38.591776999725
2010-05-14,39.09233198656148
2010-05-17,39.181678005596325
2010-05-18,39.396198706310855
2010-05-19,39.64969947049318
2010-05-20,40.20060711242639
2010-05-21,40.528858020574326
2010-05-24,40.205481959389296
2010-05-25,40.64911606324376
2010-05-26,40.22659206893971
2010-05-27,39.661082775442885
2010-05-28,39.718719482421875
2010-06-01,39.94372735545982
2010-06-02,39.84590762066189
2010-06-03,39.5002199817623
2010-06-04,40.18505287804736
2010-06-07,40.25675973773246
2010-06-08,40.32687407089776
2010-06-09,40.27963131346094
2010-06-10,40.01383844609906
2010-06-11,40.05785127693407
2010-06-14,39.902970228690286
2010-06-15,39.8768706261739
2010-06-16,39.99915306189867
2010-06-17,40.25354526006813
2010-06-18,40.23559964654071
2010-06-21,40.025252554813775
2010-06-22,40.41984854031986
2010-06-23,40.726350384808214
2010-06-24,40.74105981255494
2010-06-25,40.57962276403676
2010-06-28,40.97582879337126
2010-06-29,41.33616002376243
2010-06-30,41.51667878931905
2010-07-01,41.78329534199946
2010-07-02,41.459476305177375
2010-07-06,41.56575728894266
2010-07-07,41.49217258796916
2010-07-08,41.17323193474421
2010-07-09,40.99006072570572
2010-07-12,41.02278596688226
2010-07-13,40.77744998652376
2010-07-14,40.864131627101436
2010-07-15,41.2697248074274
2010-07-16,41.503601815455674
2010-07-19,41.4659943215121
2010-07-20,41.47905111785134
2010-07-21,41.763640080400194
2010-07-22,41.73749850285925
2010-07-23,41.47581880782347
2010-07-26,41.205961781174736
2010-07-27,41.021137665899
2010-07-28,40.99825400970745
2010-07-29,40.95898570016164
2010-07-30,41.55447113221196
2010-08-02,41.27430491294061
2010-08-03,41.429959970241555
2010-08-04,41.2366299343699
2010-08-05,41.45615965855202
2010-08-06,41.67406624958665
2010-08-09,41.65276152948566
2010-08-10,41.808394248152425
2010-08-11,42.10987829858467
2010-08-12,42.23928373258069
2010-08-13,42.37691712978959
2010-08-16,43.25505071966107
2010-08-17,43.19771982441628
2010-08-18,43.34025721817833
2010-08-19,43.24357859026283
2010-08-20,43.710467624962426
2010-08-23,43.54341304482282
2010-08-24,44.09711479150353
2010-08-25,44.31669172780262
2010-08-26,44.23802524502432
2010-08-27,43.77931090943592
2010-08-30,43.831737302029794
2010-08-31,44.37617035021423
2010-09-01,43.842475140697104
2010-09-02,43.399102579802005
2010-09-03,42.78657575862024
2010-09-07,43.476271910318076
2010-09-08,43.39911280352683
2010-09-09,42.77999689107176
2010-09-10,42.46634167315425
2010-09-13,42.53366978971227
2010-09-14,42.894953313061485
2010-09-15,42.67653270889374
2010-09-16,42.23315858093652
2010-09-17,42.39245688188338
2010-09-20,42.52216908802526
2010-09-21,42.85224342205457
2010-09-22,43.377766053733666
2010-09-23,43.53705398310396
2010-09-24,43.116632723781215
2010-09-27,43.44179278398694
2010-09-28,43.895011757842
